Title,Year,Franchise,,,https://en.wikipedia.org/wiki/List_of_films_featuring_extraterrestrials
10 Cloverfield Lane,2016,Cloverfield[1],,,
20 Million Miles to Earth,1957,[2],,,
2001: A Space Odyssey,1968,Space Odyssey[3],,,
2001: A Space Travesty,2000,[4],,,
2010: The Year We Make Contact,1984,Space Odyssey[5],,,
The 5th Wave,2016,[6],,,
6 Days on Earth,2011,[7],,,
Abbott and Costello Go to Mars,1953,Abbott and Costello[8],,,
"Abraxas, Guardian of the Universe",1990,[9],,,
Absolutely Anything,2015,[3],,,
The Abyss,1989,[10],,,
The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,[10],,,
Aelita,1924,[11],,,
After Earth,2013,[3],,,
Airplane II: The Sequel,1982,Airplane![12],,,
Algol: Tragedy of Power,1920,[10],,,
Alien,1979,Alien[10],,,
Alien 2: On Earth,1980,[13],,,
Alien 3,1992,Alien[9],,,
Alien Abduction,2005,[14],,,
Alien Abduction,2014,[15],,,
Alien Abduction: Incident in Lake County,1998,[16],,,
Alien Agent,2007,[17],,,
Alien Apocalypse,2005,[18],,,
Alien Arsenal,1999,[19],,,
Alien: Covenant,2017,Alien[20],,,
The Alien Factor,1978,[21],,,
Alien Hunter,2003,[22],,,
Alien Intruder,1993,[23],,,
Alien Invasion Arizona,2005,[24],,,
Alien Nation,1988,Alien Nation[10],,,
Alien Origin,2012,[25],,,
Alien Raiders,2008,[26],,,
Alien Resurrection,1997,Alien[27],,,
Alien Siege,2005,,,,
Alien Trespass,2009,[28],,,
Aliens,1986,Alien[29],,,
Aliens Ate My Homework,2018,[30],,,
Aliens in the Attic,2009,[31],,,
Aliens vs. Avatars,2011,[32],,,
Alien vs. Predator,2004,Alien vs. Predator[3],,,
Aliens vs. Predator: Requiem,2007,Alien vs. Predator[33],,,
Alien vs Ninja,2010,[34],,,
All-Star Superman,2011,DC - Superman,,,
Allegro Non Troppo,1976,[35],,,
Almost Human,2013,[36],,,
Altered,2006,[36],,,
Amazon Women on the Moon,1987,[37],,,
The Andromeda Strain,1971,[38],,,
The Angry Red Planet,1959,[39],,,
Angry Video Game Nerd: The Movie,2014,[40],,,
Annihilation,2018,[41],,,
Apollo 18,2011,[42],,,
Area 51,2015,[43],,,
